benchmark,extract,transform,load,total
2025-01-01,0.124302,0.010811,2.159462,2.294575
2025-01-02,0.118834,0.009790,11.891022,12.019646
2025-01-03,0.111263,0.008756,11.510490,11.630509
2025-01-04,0.126503,0.009169,11.397906,11.533578
2025-01-05,0.118071,0.009435,11.810336,11.937842
2025-01-06,0.112856,0.008799,11.965785,12.087440
2025-01-07,0.133337,0.008697,11.481395,11.623429
2025-01-08,0.132594,0.009742,11.859130,12.001466
2025-01-09,0.122028,0.009132,12.193097,12.324257
2025-01-10,0.119408,0.009774,12.179355,12.308537
