file_count,quarter-hour,hour,day,month,year
1,0.926,0.402,0.202,0.202,0.207
2,1.852,0.804,0.404,0.404,0.414
5,4.63,2.01,1.01,1.01,1.035
10,9.26,4.02,2.02,2.02,2.07
20,18.52,8.04,4.04,4.04,4.14
50,46.3,20.1,10.1,10.1,10.35
100,92.6,40.2,20.2,20.2,20.7
200,185.2,80.4,40.4,40.4,41.4
290,268.54,116.58,58.58,58.58,60.03
452,418.552,181.704,91.304,91.304,93.564
500,463.0,201.0,101.0,101.0,103.5
665,615.79,267.33,134.33,134.33,137.655
1000,926.0,402.0,202.0,202.0,207.0
2000,1852.0,804.0,404.0,404.0,414.0
5000,4630.0,2010.0,1010.0,1010.0,1035.0
10000,9260.0,4020.0,2020.0,2020.0,2070.0
