janitza,read,write,total
UND41C,1.545840,1.030302,2.576142
PRE41Z,0.354014,1.063196,1.417210
EMK21A,1.029663,1.147320,2.176983
DIL11A,0.818262,1.134874,1.953136
WSD41A,1.085212,1.056062,2.141274
UW_Hof,1.087504,1.194985,2.282489
NHB21B,1.061378,1.054420,2.115798
NST11A,0.668321,1.228624,1.896945
BUB11A,1.064543,1.047562,2.112105
ZWG11A,1.068484,1.080797,2.149281
UW_Dinau,1.025988,1.095108,2.121096
LAA21A,0.745669,1.106213,1.851882
UW_Kallmuenz,0.728147,1.205953,1.934100
DIF11A,0.675274,1.036903,1.712177
CAX11A,1.113856,1.038777,2.152633
GOE11A,0.700534,1.034070,1.734604
KLL11A,0.731591,1.173482,1.905073
SBZ21B,1.047742,1.068905,2.116647
SOL11A,1.073306,1.139697,2.213003
FEL11A,1.388547,1.040993,2.429540
WAL21B,1.104066,1.108586,2.212652
PUK11A,1.438205,1.212373,2.650578
DOG11B,0.796307,1.458447,2.254754
FRO11A,1.044325,1.310992,2.355317
EGG0411A,1.356168,1.121976,2.478144
GEH21A,1.077656,1.047017,2.124673
EBE41A,0.702619,1.026939,1.729558
SAE22A,1.024824,1.129935,2.154759
ALD11A,1.421181,1.082362,2.503543
STA11B,0.343628,1.045241,1.388869
GAH11D,0.706561,1.054035,1.760596
ALT21A,1.084431,1.079218,2.163649
EGG21B,1.117316,1.224613,2.341929
ZWS11A,0.412208,1.884146,2.296354
LAO11A,1.045892,1.164123,2.210015
WEG11A,0.707460,1.447970,2.155430
HOF31A,0.778599,1.234299,2.012898
AGD11A,1.081600,1.034228,2.115828
SAD11A,1.027140,1.034020,2.061160
ZWO11A,0.727023,1.043182,1.770205
KUP41A,1.059604,1.033514,2.093118
UND41B,1.063076,1.010445,2.073521
GST11A,1.118383,1.063352,2.181735
Koethen_INV_03_06,0.396738,1.046040,1.442778
GOZ11E,1.054433,1.061374,2.115807
TAU12A,0.745723,1.033821,1.779544
EHN24A,1.068822,1.122466,2.191288
REB11A,0.690382,1.178272,1.868654
KZS0141C,0.338427,1.022112,1.360539
SOS11A,1.022632,1.204341,2.226973
WST41C,1.045843,0.980740,2.026583
SOS22A,0.824398,1.288535,2.112933
SRA11A,1.088863,1.198776,2.287639
UWE41B,1.104034,1.146096,2.250130
UWE41A,0.353184,1.077116,1.430300
ALI11A,1.074537,1.049410,2.123947
MOK11A,0.644409,1.091838,1.736247
LEW21A___PVA,0.775541,1.175184,1.950725
EBE21A_Nur_Strom,1.079506,1.109270,2.188776
HOM11A,1.055772,1.270411,2.326183
KZS0141B,0.750030,1.019110,1.769140
BIM11A,1.028154,1.043437,2.071591
BLB21A,1.105723,1.050230,2.155953
GOK11A,1.069959,1.126503,2.196462
WAL21D,1.068440,1.133154,2.201594
BBG11C,0.723302,1.029549,1.752851
WFL11A,1.041687,1.109981,2.151668
EMN41A,0.753066,1.179636,1.932702
COS11A,0.768675,1.293980,2.062655
BDL11A,0.430094,2.295011,2.725105
WCK42Z,0.679908,1.134397,1.814305
COB11A,0.359477,1.032553,1.392030
NES11A,1.060969,1.110567,2.171536
NRU14A,0.695171,1.086275,1.781446
BRE0141C,1.107850,1.153098,2.260948
KWW11A,0.820938,1.053321,1.874259
ZHN22B,1.006250,1.092600,2.098850
KZS0241A,1.090270,1.161934,2.252204
HGW11A,0.676530,1.021464,1.697994
NAG21A,1.063125,1.036661,2.099786
KWW12A,1.112914,1.019145,2.132059
OSW11A,1.074814,1.161920,2.236734
GGN41Z,1.036482,1.082931,2.119413
MOL11A,1.046063,1.051921,2.097984
STA211A,1.428414,1.134414,2.562828
SKU11A,1.032320,1.045606,2.077926
EGG21C,1.465028,1.144538,2.609566
GAA21D,1.029731,1.170259,2.199990
DOR211A,0.729550,1.096360,1.825910
FWA11A,1.448736,1.172220,2.620956
BRE0141D,0.717760,1.031718,1.749478
KOZ41A,1.060398,1.120204,2.180602
GLE11Z,1.506621,1.137947,2.644568
POM41B,0.661598,1.126390,1.787988
GOZ11C,0.696381,1.018782,1.715163
GAH11C,1.088401,1.467930,2.556331
GUS11A,0.414653,1.276308,1.690961
JAR41A,0.363032,1.045903,1.408935
TEU21B,0.371139,1.045695,1.416834
FAU11A,1.428102,1.140315,2.568417
